Year,Coal - Coking,Coal - Non-coking,Coal - Total,Coal Derivatives and Coal By-products - Hard Coke,Coal Derivatives and Coal By-products - Washed coke,Coal Derivatives and Coal By-products - Total
2000-01,30.9,,313.7,13.38,8.642,22.02
2001-02,28.67,299.12,327.79,11.73,8.01,19.74
2002-03,30.2,311.08,341.28,13.92,,22.12
2003-04,29.4,331.85,361.25,13.12,8.2,21.32
2004-05,30.22,352.39,,12.67,8.79,21.46
2005-06,31.511,375.53,407.041,13.35,8.378,21.72
2006-07,32.097,398.74,430.837,12.566,7.025,19.591
2007-08,34.455,422.627,457.082,12.542,7.171,19.713
2008-09,34.809,457.948,492.757,12.62,7.181,19.8
2009-10,44.41,487.63,532.04,12.66,6.55,19.21
2010-11,49.55,483.15,532.69,10.84,6.96,17.79
2011-12,51.65,488.29,539.94,9.97,6.5,16.46
2012-13(P),51.83,505.87,557.71,,,
2014-15,57.45,551.73,609.18,,,
2015-16,60.89,578.34,639.23,,,
2016-17,61.66,596.21,657.87,,,
2017-18,40.15,635.25,675.4,,,
2018-19,42.72,686.0,728.72,,,
2019-20,52.84,676.17,729.1,,,
